region,n_neurons,subject,date
CA1,45,ZFM-06296,2023-07-13
root,16,ZFM-06296,2023-07-13
ENTl,5,ZFM-06301,2023-07-11
root,19,ZFM-06301,2023-07-11
ACAd,10,ZFM-06296,2023-07-06
ACAv,32,ZFM-06296,2023-07-06
LSc,5,ZFM-06296,2023-07-06
LSr,6,ZFM-06296,2023-07-06
MS,26,ZFM-06296,2023-07-06
root,48,ZFM-06296,2023-07-06
COAp,2,ZFM-06296,2023-07-06
LP,1,ZFM-06296,2023-07-06
MEA,8,ZFM-06296,2023-07-06
PA,1,ZFM-06296,2023-07-06
PO,7,ZFM-06296,2023-07-06
VPL,15,ZFM-06296,2023-07-06
VPM,58,ZFM-06296,2023-07-06
ZI,15,ZFM-06296,2023-07-06
root,9,ZFM-06296,2023-07-06
BLA,16,ZFM-06373,2023-07-05
CEA,19,ZFM-06373,2023-07-05
CP,4,ZFM-06373,2023-07-05
GPe,18,ZFM-06373,2023-07-05
root,6,ZFM-06373,2023-07-05
ACAd,8,ZFM-06373,2023-07-05
ACAv,6,ZFM-06373,2023-07-05
LSr,3,ZFM-06373,2023-07-05
MOs,6,ZFM-06373,2023-07-05
root,1,ZFM-06373,2023-07-05
void,1,ZFM-06373,2023-07-05
ACAd,41,ZFM-06301,2023-07-04
ACAv,53,ZFM-06301,2023-07-04
ACB,10,ZFM-06301,2023-07-04
LSr,32,ZFM-06301,2023-07-04
LSv,15,ZFM-06301,2023-07-04
root,5,ZFM-06301,2023-07-04
COAp,6,ZFM-06301,2023-07-04
MEA,5,ZFM-06301,2023-07-04
RT,4,ZFM-06301,2023-07-04
VPL,17,ZFM-06301,2023-07-04
VPM,2,ZFM-06301,2023-07-04
root,39,ZFM-06301,2023-07-04
CM,11,ZFM-06373,2023-06-28
DG,31,ZFM-06373,2023-06-28
LH,3,ZFM-06373,2023-06-28
MD,73,ZFM-06373,2023-06-28
RE,12,ZFM-06373,2023-06-28
RH,7,ZFM-06373,2023-06-28
Xi,4,ZFM-06373,2023-06-28
root,12,ZFM-06373,2023-06-28
CP,56,ZFM-06373,2023-06-28
MOs,1,ZFM-06373,2023-06-28
root,15,ZFM-06373,2023-06-28
ACAd,22,ZFM-06301,2023-06-27
ACAv,1,ZFM-06301,2023-06-27
BST,4,ZFM-06301,2023-06-27
MOs,20,ZFM-06301,2023-06-27
root,17,ZFM-06301,2023-06-27
CM,49,ZFM-06301,2023-06-27
DG,4,ZFM-06301,2023-06-27
IMD,11,ZFM-06301,2023-06-27
LH,4,ZFM-06301,2023-06-27
MD,3,ZFM-06301,2023-06-27
PH,1,ZFM-06301,2023-06-27
PVT,2,ZFM-06301,2023-06-27
RH,3,ZFM-06301,2023-06-27
VPMpc,18,ZFM-06301,2023-06-27
root,23,ZFM-06301,2023-06-27
AUDd,38,ZFM-06048,2023-05-31
AUDp,42,ZFM-06048,2023-05-31
AUDv,29,ZFM-06048,2023-05-31
SSs,21,ZFM-06048,2023-05-31
TEa,2,ZFM-06048,2023-05-31
CA3,5,ZFM-06048,2023-05-24
CP,17,ZFM-06048,2023-05-24
GPe,1,ZFM-06048,2023-05-24
root,17,ZFM-06048,2023-05-24
ACAd,12,ZFM-06048,2023-05-24
ACAv,25,ZFM-06048,2023-05-24
DP,28,ZFM-06048,2023-05-24
MOs,50,ZFM-06048,2023-05-24
PL,21,ZFM-06048,2023-05-24
void,2,ZFM-06048,2023-05-24
ACAd,12,ZFM-06187,2023-05-23
DP,18,ZFM-06187,2023-05-23
ILA,27,ZFM-06187,2023-05-23
MOs,18,ZFM-06187,2023-05-23
PL,31,ZFM-06187,2023-05-23
TTd,9,ZFM-06187,2023-05-23
CP,39,ZFM-06047,2023-05-18
MOs,31,ZFM-06047,2023-05-18
root,15,ZFM-06047,2023-05-18
CM,21,ZFM-06047,2023-05-18
DG,6,ZFM-06047,2023-05-18
LH,10,ZFM-06047,2023-05-18
MD,28,ZFM-06047,2023-05-18
RE,6,ZFM-06047,2023-05-18
RH,12,ZFM-06047,2023-05-18
SMT,5,ZFM-06047,2023-05-18
Xi,5,ZFM-06047,2023-05-18
root,2,ZFM-06047,2023-05-18
CM,1,ZFM-06048,2023-05-17
DG,12,ZFM-06048,2023-05-17
LH,3,ZFM-06048,2023-05-17
MD,43,ZFM-06048,2023-05-17
SMT,1,ZFM-06048,2023-05-17
CP,42,ZFM-06048,2023-05-17
root,7,ZFM-06048,2023-05-17
CA1,1,ZFM-06187,2023-05-16
CM,7,ZFM-06187,2023-05-16
DG,13,ZFM-06187,2023-05-16
MD,27,ZFM-06187,2023-05-16
RE,3,ZFM-06187,2023-05-16
SMT,4,ZFM-06187,2023-05-16
root,10,ZFM-06187,2023-05-16
CP,27,ZFM-06187,2023-05-16
MOs,31,ZFM-06187,2023-05-16
root,13,ZFM-06187,2023-05-16
AUDp,1,SQL-15020,2023-04-04
AUDv,1,SQL-15020,2023-04-04
ECT,3,SQL-15020,2023-04-04
TEa,4,SQL-15020,2023-04-04
VISrl,9,SQL-15020,2023-04-04
root,14,SQL-15020,2023-04-04
CA3,1,SQL-15020,2023-03-28
CP,6,SQL-15020,2023-03-28
GPe,1,SQL-15020,2023-03-28
SSp-tr,1,SQL-15020,2023-03-28
SSp-ul,2,SQL-15020,2023-03-28
root,20,SQL-15020,2023-03-28
ACAd,2,SQL-15020,2023-03-28
LSr,7,SQL-15020,2023-03-28
MOs,31,SQL-15020,2023-03-28
MS,1,SQL-15020,2023-03-28
SF,2,SQL-15020,2023-03-28
root,15,SQL-15020,2023-03-28
CA1,2,ZFM-05989,2023-03-22
CA3,6,ZFM-05989,2023-03-22
DG,8,ZFM-05989,2023-03-22
LD,2,ZFM-05989,2023-03-22
LP,5,ZFM-05989,2023-03-22
SSp-tr,2,ZFM-05989,2023-03-22
CP,48,ZFM-05989,2023-03-22
MOp,37,ZFM-05989,2023-03-22
root,4,ZFM-05989,2023-03-22
ECT,14,ZFM-05727,2023-02-08
EPd,20,ZFM-05727,2023-02-08
PIR,47,ZFM-05727,2023-02-08
root,54,ZFM-05727,2023-02-08
ECT,5,ZFM-05725,2023-02-07
SSp-bfd,5,ZFM-05725,2023-02-07
SSs,2,ZFM-05725,2023-02-07
TEa,1,ZFM-05725,2023-02-07
ACAv,3,ZFM-05727,2023-02-01
DP,13,ZFM-05727,2023-02-01
ILA,8,ZFM-05727,2023-02-01
LSr,39,ZFM-05727,2023-02-01
MS,8,ZFM-05727,2023-02-01
NDB,6,ZFM-05727,2023-02-01
PL,25,ZFM-05727,2023-02-01
TTd,12,ZFM-05727,2023-02-01
root,3,ZFM-05727,2023-02-01
BMA,13,ZFM-05727,2023-02-01
CEA,12,ZFM-05727,2023-02-01
EPv,1,ZFM-05727,2023-02-01
GPe,6,ZFM-05727,2023-02-01
PAA,10,ZFM-05727,2023-02-01
root,3,ZFM-05727,2023-02-01
