eid,spontaneous_start_00,spontaneous_stop_00,rfm_start_00,rfm_stop_00,replay_start_00,replay_stop_00,spontaneous_start_01,spontaneous_stop_01,rfm_start_01,rfm_stop_01,replay_start_01,replay_stop_01,admin_time
d77dd225-f7a9-4d01-996b-82c3ae73d56c,52.45630068464166,352.48846745576327,364.75513434495394,665.8205311160766,3029.72411862303,1002.943728931003,3050.43727260764,3350.4864710087613,3362.753137897952,3663.834733049074,4042.941732064043,3999.650061664,"29    1047
Name: administration_time_s, dtype: int64"
86f743cd-ee0d-4ca5-a107-dca9a0cf3f7a,60.581288104649786,360.6305531657714,372.8972200549621,673.9459184960848,3076.0413197730763,1010.01112212101,3096.895659637686,3396.944591398808,3409.2112582879986,3710.259923399121,4034.3421254440345,,"28    1111
Name: administration_time_s, dtype: int64"
4b398979-c54c-498f-a3d4-b201c2285be5,192.9938121947822,493.0592089759039,505.3258758650945,806.4082376062172,3081.895067673082,1149.6444573911497,3102.680914387692,3402.7300127988137,3414.9966796880044,3716.062143119127,4073.4044521540736,4059.3726221440593,"27    1184
Name: administration_time_s, dtype: int64"
6dc3fee9-6bfc-4daf-a70f-d726ac2fcfde,68.3037157846575,368.3527808657792,380.6194477549698,681.6846778760925,3045.907000173046,1024.891867231025,3066.685280977656,3366.7179476987776,3378.9846145879683,3680.049744719091,4173.635928004173,4023.2646666340233,"26    1054
Name: administration_time_s, dtype: int64"
76bae405-b169-44ba-95db-b39342f21cf0,92.9962462846822,393.0453446958039,405.31201158499454,706.3941066861172,3302.5203362733027,1049.7143180710498,,,,,,,"25    1447
Name: administration_time_s, dtype: int64"
90b53484-ed3d-4f62-9dc7-64170e4941ba,,,,,,,,,,,,,"23    1068
Name: administration_time_s, dtype: int64"
50322fbb-5b93-46d7-9ca0-391fa30c966a,,,,,,,,,,,,,"22    1240
Name: administration_time_s, dtype: int64"
731a5f76-c4d6-4485-8584-7adeecdd6f3a,89.6999426146789,389.74874105580056,402.0154079449912,703.0812380061138,2933.648793782934,1038.976458631039,,,,,,,"21    1071
Name: administration_time_s, dtype: int64"
aff40fef-7ef3-4e7a-9451-f248e6d385db,92.48943030468168,392.55519371580334,404.821860604994,705.8873906961167,2968.815543422969,1042.197769801042,2989.578825727579,3289.6279907987005,3301.894657687891,3602.9598878090137,4165.659292414166,3938.842942983939,"20    1094
Name: administration_time_s, dtype: int64"
8057374c-baf2-4391-b290-e88743d8981a,,,,,,,2970.0878083575594,3270.1197418186807,3282.3864087078714,3583.4522720989944,3947.555005023948,3926.733120753927,"19    1077
Name: administration_time_s, dtype: int64"
0bd26d4d-c1c1-4f59-af13-59d19b597ab6,,,,,,,2964.1129392375533,3264.161870998675,3276.428537887866,3577.4937680089884,3944.495944293944,3920.885405583921,"18    1076
Name: administration_time_s, dtype: int64"
53d8cb2f-3338-4bcd-81c4-6207b660eba3,85.65091422467485,385.7159443757965,397.9826112649872,699.0479413761099,3006.5306382030067,1042.013454901042,3027.2830215976164,3327.331420078738,3339.598086967929,3640.663117109052,4009.95133143401,3983.424584373984,"17    1146
Name: administration_time_s, dtype: int64"
1cbb24d0-2188-45dc-a116-e23a089c62b4,,,,,,,,,,,,,"16    1100
Name: administration_time_s, dtype: int64"
cbc72b2f-2906-497e-8df0-dfaf825ffb39,79.20955842466842,379.2586901657901,391.5253570549808,692.5907204961034,2946.4678117529465,1035.5528010310356,,,,,,,"15    1105
Name: administration_time_s, dtype: int64"
